"Site_Name","Site_Type","Site_Sub_Type","City","County","State","county.fips.character","Site_EPA_ID","EPA_Hazard_Risk_Score","Floodplain","Sea_Level_Rise","Cap","Date_Discovery","Date_Final_Listing_on_NPL","Date_Deletion_from_NPL","total_population","total_housing_units","low_median_income","high_median_income","renter_prop","pov_prop","black_prop","white_prop","asian_prop","hisp_prop","total_pop_under_5","total_pop_under_18","latitude","longitude"
"EIELSON AIR FORCE BASE","Waste Management","Industrial waste facility (non-generator)","FAIRBANKS","FAIRBANKS NORTH STAR","AK","02090","AK1570028646",48.14,"100 year zone","Not in sea level rise area",1,1981-06-01,1989-11-21,NA,19,8,54145,54145,0.83,0.06,0.11,0.68,0,0.16,2,6,64.67145,-147.0492
"STANDARD STEEL & METAL SALVAGE YARD (USDOT)","Recycling","Multiple","ANCHORAGE","ANCHORAGE","AK","02020","AKD980978787",46.25,"100 year zone","Not in sea level rise area",1,1985-10-28,1990-08-30,2002-09-30,7002,2417,38269,57227,0.77,0.27,0.1,0.28,0.09,0.11,696,2160,61.2279,-149.8324
"CIBA-GEIGY CORP. (MCINTOSH PLANT)","Manufacturing/Processing/Maintenance","Chemicals and allied products","MCINTOSH","WASHINGTON","AL","01129","ALD001221902",53.42,"100 year zone","Not in sea level rise area",1,1979-05-01,1984-09-21,NA,105,47,42440,42440,0.18,0.21,0.31,0.43,0,0,5,30,31.279,-87.9955
"T.H. AGRICULTURE & NUTRITION CO. (MONTGOMERY PLANT)","Other","Product storage/distribution","MONTGOMERY","MONTGOMERY","AL","01101","ALD007454085",44.46,"100 year zone","Not in sea level rise area",0,1986-04-02,1990-08-30,NA,869,213,20139,90625,0.6,0.29,0.41,0.44,0.01,0.13,82,209,32.3761,-86.3791
"MOWBRAY ENGINEERING CO.","Multiple","Multiple","GREENVILLE","BUTLER","AL","01013","ALD031618069",53.67,"100 year zone","Not in sea level rise area",0,1980-12-01,1983-09-08,1993-12-30,936,449,21167,47500,0.28,0.16,0.35,0.63,0,0,62,191,31.83166,-86.61305
"GURLEY PIT","Waste Management","Industrial waste facility (non-generator)","EDMONDSEN","CRITTENDEN","AR","05035","ARD035662469",40.13,"500 year zone","Not in sea level rise area",1,1979-11-01,1983-09-08,2003-11-06,72,40,38125,38125,0.43,0.29,0.57,0.36,0,0.06,7,18,35.1209,-90.3116
"CECIL LINDSEY","Waste Management","Co-disposal landfill (municipal and industrial)","NEWPORT","JACKSON","AR","05067","ARD980496186",35.6,"100 year zone","Not in sea level rise area",0,1979-12-01,1983-09-08,1989-09-22,477,241,28719,32792,0.46,0.29,0.24,0.68,0.01,0.04,47,125,35.6349,-91.2255
"SOUTH 8TH STREET LANDFILL","Waste Management","Other","WEST MEMPHIS","CRITTENDEN","AR","05035","ARD980496723",50.27,"100 year zone","Not in sea level rise area",1,1979-11-01,1992-10-14,2004-09-28,1132,557,19096,38125,0.63,0.38,0.87,0.1,0,0.01,95,282,35.12444,-90.16944
"JACKSONVILLE MUNICIPAL LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","JACKSONVILLE","LONOKE","AR","05085","ARD980809941",29.64,"100 year zone","Not in sea level rise area",0,1983-05-01,1987-07-22,2000-03-14,2566,1037,37233,59671,0.39,0.19,0.41,0.48,0.01,0.06,201,777,34.86333,-92.07166
"CEDAR CHEMICAL CORPORATION","Manufacturing/Processing/Maintenance","Chemicals and allied products","WEST HELENA","PHILLIPS","AR","05107","ARD990660649",NA,"500 year zone","Not in sea level rise area",NA,1979-07-01,2012-09-18,NA,899,477,17781,34588,0.6,0.6,0.83,0.15,0,0,117,334,34.518611,-90.6525
